,Hospital,State,City,LocalAddress,Pincode
445,Artemis Medicare Services Ltd,Haryana,Gurgaon,"Sector-51,",122001
446,Arthroscopy & Spinal Endoscopy Centre,Punjab,Chandigarh,"Sco66, Sector 20C, Chandigarh-160020",160020
447,Arthur Astrvatham Hospital,Tamilnadu,Madurai,"No.42-A,Kuruvikaran Salai,",625020
448,Arul Hospital,Tamilnadu,Trichy,"#6A,T.V.K.Nagar,Puthur",620017
449,Arul Mission Hospital,Tamilnadu,Tirunelveli,"7A1 & 2,North Main Road,Vallioor",627117
450,Arumana Hospital,Kerala,Trivandrum,Perunthanni,695008
451,Arun Hospital,Tamilnadu,Madurai,"#186,Munichalai Road,",625009
452,Arun Hospital (Pollachi),Tamilnadu,Pollachi,"49/84, New Scheme Roadpollachi Coimbatore",642002
453,Arun Hospital (Theni),Tamilnadu,Theni,"51, Uthamapalayam Road,Bus Stand Bodinayakanur",625513
454,Arun Kidney Centre,Andhra Pradesh,Vijayawada,"#29-23-9,Tadepallivani Street,Suryaraopet",520002
455,Aruna Aspatal,Rajasthan,Chittorgarh,"#16, Rajeev Coloni, Meera Market, Chittorgarh, Rajasthan",312001
456,Aruna Hospital,Karnataka,Tumkur,"Dr.Radhakrishan Road, Tumkur",572102
457,Aruna Shakti Nursing Home,Orissa,Sambalpur,A.N. Guha Lane,768001
458,Arunn Surgery,Tamilnadu,Coimbatore,"Dr.Nanjappa Road,",641018
459,Arunodaya Deseret Eye Hospital,Haryana,Gurgaon,"# Nh 4, Sector-55, Gurgaon, Haryana",122003
460,Arunodaya Health Care,West Bengal,Hooghly,"Lichubagan, Po-Garalgacha,P.S-Dankuni.",712708
461,Arunodaya Hospitals,Karnataka,Bangalore,"# 18-23,4Th And 5Th Cross Mallasandra Main Road",560057
462,Arunpriya Nursing Home,Tamilnadu,Nagapattanam,"3&4, Pattamangalam Street,Nagapattinam",609001
463,Arushi Medical Centre,Uttar Pradesh,Lucknow,"B-1/31, Sector-K, Aliganj, Lucknow - 226024",226022
464,Arvind Hospital Pvt Ltd,Bihar,Patna,"Ashok Rajpath,Opp.Pmch,",800004
465,Arvinth Hospital,Tamilnadu,Namakkal,"# 17, Rangar Sannathi Street,Namakkal- 637001",637001
466,Arya Hospital,Delhi,Delhi,"C-1/101.Pankha Road,Janak Puri,New Delhi West,",110058
